section;material;question;no;type;option1;option2;option3;option4;option5;option6;option7;explanation;answer1;answer2;answer3;answer4;score1;score2;score3;score4
;;<p>Your network contains an Active Directory domain.</p><p>You have a user account that is a member of the Domain Admins group.</p><p>You have 100 laptops that have a standard corporate image installed. The laptops are in workgroups and have random names.</p><p>A technician named Tech1 is assigned the task of joining the laptops to the domain. The computer accounts of each laptop must be in an organizational unit (OU) that is associated to the department of the user who will use the laptop. The laptop names must start with four characters indicating the department, followed by a four-digit number.</p><p>Tech1 is a member of the Domain Users group only. Tech1 has the administrator logon credentials for all the laptops.</p><p>You need Tech1 to join the laptops to the domain. The solution must ensure that the laptops are named correctly, and the computer accounts of the laptops are in the correct OUs.</p><p>Solution: You script the creation of files domain join, and then you give the files to Tech1.</p><p>You instruct Tech1 to sign in to each laptop, and then to run djoin.exe.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;;A;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. You have an organizational unit (OU) named LondonUsers that contains 10,000 users. You need to modify the office attribute of all the users in the LondonUsers OU. </p><p>Solution: From PowerShell, you run the Get-ADUser cmdlet and specify the –SearchBase parameter. You pipe the results to the Set-Aduser cmdlet. </p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;<a href='https://webactivedirectory.com/2011/07/18/simple-powershell-script-to-bulk-update-or-modify-active-directory-user-attributes/'>Link</a>;A;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. You have an organizational unit (OU) named LondonUsers that contains 10,000 users. You need to modify the office attribute of all the users in the LondonUsers OU. </p><p>Solution: You create an LDIF file. You run ldifde.exe and specify the –i and –f parameters. </p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;<a href='https://webactivedirectory.com/2011/07/18/simple-powershell-script-to-bulk-update-or-modify-active-directory-user-attributes/'>Link</a>;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>You need to ensure that the Administrators group on each computer in the domain always contains Contoso\Domain Admins.</p><p>What should you do?</p>;;;Modify the Default Domain Policy and enable the Accounts: Administrator Account status setting.;Modify the Default Domain Policy and configure the Restricted Groups setting.;Modify the Default Domain Controllers Policy and enable the Accounts: Administrator account status setting.;Modify the Default Domain Controllers Policy and configure the Restricted Groups setting.;;;;<a href='https://www.grouppolicy.biz/2010/01/how-to-use-group-policy-preferences-to-secure-local-administrator-groups/'>Link</a>;B;;;;1.0;;;
;;<p>Your network contains an Active Directory forest. The forest contains two domains named contoso.com and fabrikam.com. The functional level of the forest and the domains is Windows Server 2008 R2.</p><p>You have a global group named Group1 in the contoso.com domain. Group1 contains the user accounts in the contoso.com.</p><p>You need to ensure that you can add the user accounts in the fabrikam.com domain to Group1.</p><p>What should you do?</p>;;;Modify the scope of Group1 to Universal.;Raise the domain functional level contoso.com to Windows Server 2016.;Run the Set-LocalGroup cmdlet.;Change Group1 to a distribution group.;;;;;A;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. You have an organizational unit (OU) named LondonUsers that contains 10,000 users. You need to modify the office attribute of all the users in the LondonUsers OU. </p><p>Solution: From PowerShell, you run the Get-ADObject cmdlet and specify the –SearchBase and LdapFilter parameter. You pipe the results to the Set-ADObject cmdlet. </p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;<a href='https://docs.microsoft.com/en-us/powershell/module/activedirectory/get-adobject?view=winserver2012-ps'>Link</a>;A;;;;1.0;;;
Section: Manage and Maintain AD DS ;;;;;;;;;;;;;;;;;;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>You need to limit the number of Active Directory Domain Services (AD DS) objects that a user can create in the domain.</p><p>Which tool should you use?</p>;;;Dsadd quota;Dsmod;Active Directory Administrative Center;Dsacls;Dsamain;Active Directory Users and Computers;Ntdsutil;<p>Dsadd quota adds a quota specification to a directory partition. A quota specification determines the maximum number of directory objects that a given security principal can own in a specified directory partition.</p><a href='https://blogs.technet.microsoft.com/activedirectoryua/2009/03/19/active-directory-quotas/'>Link</a>;A;;;;1.0;;;
;;<p>Your network contains an Active Directory forest named contoso.com. The forest functional level is Windows Server 2012 R2.</p><p>You need to ensure that a domain administrator can recover a deleted Active Directory object quickly.</p><p>Which tool should you use?</p>;;;Dsadd quota;Dsmod;Active Directory Administrative Center;Dsacls;Dsamain;Active Directory Users and Computers;Ntdsutil;<p>You can restore objects from the Active Directory Recycle Bin by using Active Directory Administrative Center.</p><a href='https://blogs.technet.microsoft.com/canitpro/2014/07/28/step-by-step-restoring-a-deleted-object-via-active-directory-recycle-bin/'>Link</a>;C;;;;1.0;;;
;;<p>Your network contains an Active Directory forest named contoso.com.</p><p>A partner company has a forest named fabrikam.com. Each forest contains one domain.</p><p>You need to provide access for a group named Research in fabrikam.com to resources in contoso.com. The solution must use the principle of least privilege.</p><p>What should you do?</p>;;;Create an external trust from fabrikam.com to contoso.com. Enable Active Directory split permissions in fabrikam.com.;Create an external trust from contoso.com to fabrikam.com. Enable Active Directory split permissions in contoso.com.;Create a one-way forest trust from contoso.com to fabrikam.com that uses selective authentication.;Create a one-way forest trust from fabrikam.com to contoso.com that uses selective authentication.;;;;;C;;;;1.0;;;
;;<p>You deploy a new Active Directory forest.</p><p>You need to ensure that you can create a group Managed Service Account (gMSA) for multiple member servers.</p><p>Solution: From Windows PowerShell on a domain controller, you run the Set-KdsConfiguration cmdlet.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. You recently deleted 5,000 objects from the Active Directory database.</p><p>You need to reduce the amount of disk space used to store the Active Directory database on a domain controller.</p><p>Which tool should you use?</p>;;;Dsadd quota;Dsmod;Active Directory Administrative Center;Dsacls;Dsamain;Active Directory Users and Computers;Ntdsutil;;G;;;;1.0;;;
;;<p>You deploy a new Active Directory forest.</p><p>You need to ensure that you can create a group Managed Service Account (gMSA) for multiple member servers.</p><p>Solution: You configure Kerberos constrained delegation on the computer account of each member server.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;;B;;;;1.0;;;
;;<p>Your network contains an Active Directory forest. The forest functional level is Windows Server 2016.</p><p>You have a failover cluster named Cluster1. Cluster1 has two nodes named Server1 and Server2. All the optional features in Active Directory are enabled.</p><p>A junior administrator accidentally deletes the computer object named Cluster1.</p><p>You discover that Cluster1 is offline.</p><p>You need to restore the operation of Cluster1 in the least amount of time possible.</p><p>What should you do?</p>;;;Run the Enable-ADAccount cmdlet from Windows PowerShell.;Perform an authoritative restore by running ntdutil.exe.;Perform a tombstone reanimation by running ldp.exe.;Recover a deleted object from the Active Directory Recycle Bin.;;;;;D;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>The domain contains a domain controller named DC1 that runs Windows Server 2016.</p><p>You need to create a snapshot of the Active Directory database on DC1.</p><p>Which tool should you use?</p>;;;Dsadd quota;Dsmod;Active Directory Administrative Center;Dsacls;Dsamain;Active Directory Users and Computers;Ntdsutil;;G;;;;1.0;;;
;;"<p>Your company has two offices. The offices are located in Montreal and Seattle.  The network contains an Active Directory forest named contoso.com. </p><p>The forest contains three domain controllers configured as shown in the following table.</p><img src='https://start.opensourceexams.org/exams/70-742/images/image5.jpg' style='max-width: 100%;'><p>The company physically relocates Server2 from the Montreal office to the Seattle office.</p><p>You discover that both Server1 and Server2 authenticate users who sign in to the client computers in the Montreal office. Only Server3 authenticates users who sign in to the computers in the Seattle office.</p><p>You need to ensure that Server2 authenticates the users in the Seattle office during normal network operations.</p><p>What should you do?</p>";;;From Windows PowerShell, run the Set-ADReplicationSite cmdlet.;From Active Directory Users and Computers, modify the Location Property of Server2.;From Network Connections on Server2, modify the Internet Protocol Version 4 (TCP/IPv4) configuration.;From Windows PowerShell, run the Move-ADDirectoryServer cmdlet.;;;;;D;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>The domain contains a web application that uses Kerberos authentication.</p><p>You change the domain name of the web application.</p><p>You need to ensure that the service principal name (SPN) for the application is registered.</p><p>Which tool should you use?</p>;;;Rdspnf;Active Directory Users and Computers;Dnscmd;Ldifde;Netsh;Internet Information Services (IIS) Manager;Repladmin ;<a href='https://blogs.technet.microsoft.com/tristank/2006/05/08/3-simple-rules-to-kerberos-authenticationdelegation-spns/'>Link</a>;D;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. The domain contains a server named Server1 that runs Windows Server 2016.</p><p>On Server1, you create a local user named User1. User1 is a member of the local Administrators group.</p><p>Server1 has the following local Group Policies:</p><p>-Local Computer Policy</p><p>-Local Computer\User1 Policy</p><p>-Local Computer\Administrators Policy</p><p>You need to force User1 to change his password every 14 days.</p><p>Solution: You create a Password Setting object (PSO) in the domain.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. The domain contains a server named Server1 that runs Windows Server 2016.</p><p>On Server1, you create a local user named User1. User1 is a member of the local Administrators group.</p><p>Server1 has the following local Group Policies:</p><p>Local Computer Policy</p><p>Local Computer\User1 Policy</p><p>Local Computer\Administrators Policy</p><p>You need to force User1 to change his password every 14 days.</p><p>Solution: You configure the Password Policy settings in a Group Policy object (GPO) that is linked to the Domain Controllers organizational unit (OU).</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;;B;;;;1.0;;;
;;<p>Your network contains an Active Directory forest. The forest contains a domain named contoso.com. The domain contains three domain controllers.</p><p>A domain controller named lon-dc1 fails. You are unable to repair lon-dc1.</p><p>You need to prevent the other domain controllers from attempting to replicate to lon-dc1.</p><p>Solution: From Active Directory Sites and Services, you remove the object of lon-dc1.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;;A;;;;1.0;;;
;;<p>Your network contains an Active Directory forest. The forest contains a domain named contoso.com. The domain contains three domain controllers.</p><p>A domain controller named lon-dc1 fails. You are unable to repair lon-dc1.</p><p>You need to prevent the other domain controllers from attempting to replicate to lon-dc1.</p><p>Solution: From ntdsutil.exe, you perform a metadata cleanup.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;;A;;;;1.0;;;
;;<p>Your network contains an Active Directory forest. The forest contains a domain named contoso.com. The domain contains three domain controllers.</p><p>A domain controller named lon-dc1 fails. You are unable to repair lon-dc1.</p><p>You need to prevent the other domain controllers from attempting to replicate to lon-dc1.</p><p>Solution: From Active Directory Domains and Trusts, you transfer the operations master roles from lon-dc1.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;;A;;;;1.0;;;
;;<p>Your network contains an Active Directory forest named contoso.com. The forest contains 10 domains. The root domain contains a global catalog server named DC1.</p><p>You remove the global catalog server role from DC1.</p><p>You need to decrease the size of the Active Directory database on DC1.</p><p>Solution: You restart DC1 in Directory Services Repair Mode. You run compact.exe, and then restart DC1.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;<p>You need to run ntdsutil.exe with the ‘compact to’ option.</p><a href='https://theitbros.com/active-directory-database-compact-defrag/'>Link</a>;B;;;;1.0;;;
;;<p>Your network contains an Active Directory forest named contoso.com. The forest contains 10 domains.</p><p>The root domain contains a global catalog server named DC1.</p><p>You remove the global catalog server role from DC1.</p><p>You need to decrease the size of the Active Directory database on DC1.</p><p>Solution: You restart DC1 in Safe Mode. You run ntdsutil.exe, use the files option, and then restart DC1.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;<a href='https://theitbros.com/active-directory-database-compact-defrag/'>Link</a>;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>You create a domain security group named Group1 and add several users to it.</p><p>You need to force all of the users in Group1 to change their password every 35 days. The solution must affect the Group1 users only.</p><p>What should you do?</p>;;;Create a forms authentication provider, and then set the forms authentication credentials.;From Active Directory Administrative Center, create a Password Setting object (PSO).;Modify the Password Policy settings in a Group Policy object (GPO) that is linked to the domain, and then filter the GPO to Group1 only.;From Windows PowerShell, run the Set-ADDomain cmdlet, and then run the Set-ADAccountPassword cmdlet.;;;;;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>You discover that users can use passwords that contain only numbers.</p><p>You need to ensure that all the user passwords in the domain contain at least three of the following types of characters:</p><p>Numbers</p><p>Uppercase letters</p><p>Lowercase letters</p><p>Special characters</p><p>What should you edit?</p>;;;The Default Domain Controllers Policy;The local policy on each client computer;The Default Domain Policy;The local policy on each domain controller;;;;;C;;;;1.0;;;
;;<p>Your network contains an Active Directory forest named contoso.com The forest contains a member server named Server1.</p><p>Server1 has several line-of-business applications. Each application runs as a service that uses the Network Service account.</p><p>You need to configure the line-of-business applications to run by using a virtual account.</p><p>What should you do?</p>;;;From Windows PowerShell, run the Install-ADServiceAccount cmdlet.;From the Services console, modify the Log On properties of the services.;From the Microsoft Application Compatibility Toolkit (ACT), create a shim.;From Windows PowerShell, run the New-ADServiceAccount cmdlet.;;;;;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. The domain contains two domain controllers named DC1 and DC2.</p><p>DC1 holds the RID master operations role. DC1 fails and cannot be repaired. You need to move the RID role to DC2.</p><p>Solution: On DC2, you open Windows PowerShell and run Move-AddirectoryServerOperationMasterRole -OperationMasterRidMaster -Identity DC2.Adatum.com</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;<p>You would need to use the -Force parameter because the server that held the role (DC1) if offline.</p>;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. The domain contains two domain controllers named DC1 and DC2.</p><p>DC1 holds the RID master operations role. DC1 fails and cannot be repaired. You need to move the RID role to DC2.</p><p>Solution: On DC2, you open the command prompt, run dsmgmt.exe, connect to DC2, and use the Seize RID master opinion.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>The domain contains a read-only domain controller (RODC) named RODC1.</p><p>You need to retrieve a list of accounts that have their password cached on RODC1.</p><p>Which command should you run?</p>;;;repadmin.exe;ntdsutil.exe;dcdiag.exe;netdom.exe;;;;<p>To list the user and computer accounts for the passwords that are cached on the RODC, run the following command:</p><p>repadmin /prp view <read-only domain controller> reveal</p><a href='https://support.microsoft.com/en-za/help/2028962/the-active-directory-users-and-computers-mmc-snap-in-does-not-list-all'>Link</a>;A;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named adatum.com. The domain contains a security group named G_Research and an organizational unit (OU) named OU_Research.</p><p>All the users in the research department are members of G_Research and their user accounts are in OU_Research.</p><p>You need to ensure that all the research department users change their password every 28 days and enforce a complex password that is 12 characters long.</p><p>What should you do?</p>;;;From a Group Policy Management, create and link a Group Policy object (GPO) to OU_Research. Modify the password policy in the GPO.;From a Group Policy Management, create and link a Group Policy object (GPO) to the domain. Modify the password policy in the GPO. Filter the GPO to apply to G_Research only.;From Active Directory Users and Computers, modify the properties of the Password Settings Container.;From Active Directory Administrative Center, create a new Password Settings object (PSO).;;;;;D;;;;1.0;;;
;;<p>Your network contains an Active Directory forest. The forest functional level is Windows Server 2016.</p><p>The network contains Linux servers that use MIT Kerberos V5 to provide an authentication, authorization, and access service.</p><p>You need to ensure that users can use their Active Directory credentials to access the resources on the Linux servers. The solution must minimize administrative effort.</p><p>What should you implement?</p>;;;an external trust;a realm trust;Active Directory Federation Services (AD FS);a Web Application Proxy;;;;<a href='http://techgenix.com/active-directory-trusts/'>Link</a><a href='https://www.rootusers.com/how-to-join-centos-linux-to-an-active-directory-domain/'>Link</a>;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>The user account for a user named User1 is in an organizational unit (OU) named OU1.</p><p>You need to enable User1 to sign in as user1@adatum.com.</p><p>Solution: From Active Directory Domains and Trusts, you configure an alternative UPN suffix. From Active Directory Administrative Center, you configure the User UPN logon property of User1.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;;A;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>The user account for a user named User1 is in an organizational unit (OU) named OU1.</p><p>You need to enable User1 to sign in as user1@adatum.com.</p><p>Solution: From Active Directory Users and Computers, you set the E-mail property of User1 to user1@adatum.com.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>The user account for a user named User1 is in an organizational unit (OU) named OU1.</p><p>You need to enable User1 to sign in as user1@adatum.com.</p><p>Solution: From Windows PowerShell, you run Set-ADuser User1 –UserPrincipalName User1@Adatum.com.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>The user account for a user named User1 is in an organizational unit (OU) named OU1.</p><p>You need to enable User1 to sign in as user1@adatum.com.</p><p>Solution: From Windows PowerShell, you run </p><p>Set-ADObject 'CN=User1,OU=OU1,DC=Contoso,DC=com' </p><p>–Add @{UserPrincipalName='User1@Adatum.com'} –Remove @ {UserPrincipalName='User1@Contoso.com'}.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;;B;;;;1.0;;;
;;<p>You deploy a new Active Directory forest.</p><p>You need to ensure that you can create a group Managed Service Account (gMSA) for multiple member servers.</p><p>Solution: You configure Kerberos constrained delegation on the computer account of each domain controller.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;;B;;;;1.0;;;
;;"<p>Your network contains an Active Directory domain named contoso.com. The domain functional level is Windows Server 2016. The domain contains the servers shown in the following table.</p><img src='https://start.opensourceexams.org/exams/70-742/images/image6.jpg' style='max-width: 100%;'><p>The domain has several Managed Service Accounts.</p><p>Server1 hosts a service named Service1 that runs in the security context of the LocalSystem account.</p><p>You need to implement a group Managed Service Account to run Service1.</p><p>Which two actions should you perform? Each correct answer presents part of the solution.</p><p>NOTE: Each correct selection is worth one point.</p>";;multiple choice;On Server1, modify the properties of Service1.;On DC1, run Add-ADComputerServiceAccount.;On DC1, run New-ADServiceAccount.;On DC1, run Add-KDSRootKey.;;;;;AC;;;;1.0;1.0;;
;;<p>Your network contains an Active Directory domain named contoso.com. The domain contains a domain controller named Server1.</p><p>You recently restored a backup of the Active Directory database from Server1 to an alternate Location. The restore operation does not interrupt the Active Directory services on Server1.</p><p>You need to make the Active Directory data in the backup accessible by using Lightweight Directory Access Protocol (LDAP).</p><p>Which tool should you use?</p>;;;Dsadd quota;Dsmod;Active Directory Administrative Center;Dsacls;Dsamain;Active Directory Users and Computers;Ntdsutil;<p>Dsamain.exe, allows an ntds.dit file to be mounted and exposed as an LDAP server, which means you can use such familiar tools as ADSIEdit, LDP.exe, and Active Directory Users and Computers to interact with a mounted database.</p><a href='http://www.itprotoday.com/windows-8/using-active-directory-snapshots-and-dsamain-tool'>Link</a>;E;;;;1.0;;;
Section: Create and Manage Group Policy ;;;;;;;;;;;;;;;;;;;;
;;<p>You network contains an Active Directory domain named contoso.com. The domain contains 1,000 desktop computers and 500 laptops. An organizational unit (OU) named OU1 contains the computer accounts for the desktop computers and the laptops.</p><p>You create a Windows PowerShell script named Script1.ps1 that removes temporary files and cookies. You create a Group Policy object (GPO) named GPO1 and link GPO1 to OU1.</p><p>You need to run the script once weekly only on the laptops.</p><p>What should you do?</p>;;;In GPO1, create a File preference that uses item-level targeting.;In GPO1, create a Scheduled Tasks preference that uses item-level targeting.;In GPO1, configure the File System security policy. Attach a WMI filter to GPO1.;In GPO1, add Script1.ps1 as a startup script. Attach a WMI filter to GPO1.;;;;;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>You have an organizational unit (OU) named TestOU that contains test computers.</p><p>You need to enable a technician named Tech1 to create Group Policy objects (GPOs) and to link the GPOs to TestOU. The solution must use the principle of least privilege.</p><p>Which two actions should you perform? Each correct answer presents part of the solution.</p>;;multiple choice;Add Tech1 to the Group Policy Creator Owners group.;From Group Policy Management, modify the Delegation settings of the TestOU OU.;Add Tech1 to the Protected Users group.;From Group Policy Management, modify the Delegation settings of the contoso.com container.;Create a new universal security group and add Tech1 to the group.;;;<p>The Group Policy Creator Owners group lets its members create new GPOs.</p><p>You can delegate the ability for users to be given the ability to link GPOs to an OU or domain via the Delegation tab of the OU/domain/site within the GPMC.</p><a href='http://www.itprotoday.com/management-mobility/what-group-policy-creator-owners-group'>Link</a><a href='http://www.itprotoday.com/management-mobility/how-do-i-delegate-permissions-someone-edit-gpo'>Link</a>;AB;;;;1.0;1.0;;
;;<p>Your company recently deployed a new child domain to an Active Directory forest.</p><p>You discover that a user modified the Default Domain Policy to configure several Windows components in the child domain.</p><p>A company policy states that the Default Domain Policy must be used only to configure domain-wide security settings.</p><p>You create a new Group Policy object (GPO) and configure the settings for the Windows components in the new GPO.</p><p>You need to restore the Default Domain Policy to the default settings from when the domain was first installed.</p><p>What should you do?</p>;;;From Group Policy Management, click Starter GPOs, and then click Manage Backups.;From a command prompt, run the dcgpofix.exe command.;From Windows PowerShell, run the Copy-GPO cmdlet.;Run ntdsutil.exe to perform a metadata cleanup and a semantic database analysis.;;;;;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>You have an organizational unit (OU) named OU1 that contains the computer accounts from two servers and the user account of a user named User1. A Group Policy object (GPO) named GPO1 is linked to OU1.</p><p>You have an application named App1 that installs by using an application installer named App1.exe.</p><p>You need to publish App1 to OU1 by using Group Policy.</p><p>What should you do?</p>;;;Create a Config.zap file and add a file to the File System node to the Computer Configuration node of GPO1.;Create a Config.xml file and add a software installation package to the User Configuration node of GPO1. ;C. Create a Config.zap file and add a software installation package to the User Configuration node of GPO1.;Create a Config.xml file and add a software installation package to the Computer Configuration node of GPO1.;;;;;C;;;;1.0;;;
;;"<p>Your network contains an Active Directory domain named contoso.com.</p><p>You open Group Policy Management as shown in the exhibit. (Click the Exhibit button.)</p><img src='https://start.opensourceexams.org/exams/70-742/images/image7.jpg' style='max-width: 100%;'><p>You discover that some of the settings configured in the A1 Group Policy object (GPO) fail to apply to the users in the OU1 organizational unit (OU). You need to ensure that all of the settings in A1 apply to the users in OU1.</p><p>What should you do?</p>";;;Link the A2 GPO to the domain.;Modify the policy processing order for contoso.com.;Modify the policy processing order OU1.;Modify the GPO Status of A1.;;;;<a href='https://blogs.technet.microsoft.com/musings_of_a_technical_tam/2012/02/15/group-policy-basics-part-2-understanding-which-gpos-to-apply/'>Link</a>;C;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>You have a Group Policy object (GPO) named GPO1. GPO1 is linked to an organizational unit (OU) named OU1.</p><p>GPO1 contains several corporate desktop restrictions that apply to all computers.</p><p>You plan to deploy a printer to the computers in OU1.</p><p>You need to ensure that any user who signs in to a computer that runs Windows 10 in OU1 receives the new printer. All of the computers in OU1 must continue to apply the corporate desktop restrictions from GPO1.</p><p>What should you configure?</p>;;;a user preference and a WMI filter on GPO1.;a computer preference that uses item-level targeting;a computer preference and WMI filter on GPO1;a user preference that uses item-level targeting;;;;;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. The domain contains 5,000 user accounts.</p><p>You have a Group Policy object (GPO) named DomainPolicy that is linked to the domain and a GPO named DCPolicy that is linked to the Domain Controllers organizational unit (OU).</p><p>You need to use the application control policy settings to prevent several applications from running on the network.</p><p>What should you do?</p>;;;From the Computer Configuration node of DCPolicy, modify Security Settings.;From the Computer Configuration node of DomainPolicy, modify Security Settings.;From the Computer Configuration node of DomainPolicy, modify Administrative Templates.;From the User Configuration node of DCPolicy, modify Security Settings.;From the User Configuration node of DomainPolicy, modify Folder Redirection.;From user Configuration node of DomainPolicy, modify Administrative Templates.;From Preferences in the User Configuration node of DomainPolicy, modify Windows Settings.;;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. The domain contains 5,000 user accounts.</p><p>You have a Group Policy object (GPO) named DomainPolicy that is linked to the domain and a GPO named DCPolicy that is linked to the Domain Controllers organizational unit (OU).</p><p>You need to configure the Documents folder of every user to be stored on a server named FileServer1.</p><p>What should you do?</p>;;;From the Computer Configuration node of DCPolicy, modify Security Settings.;From the Computer Configuration node of DomainPolicy, modify Security Settings.;From the Computer Configuration node of DomainPolicy, modify Administrative Templates.;From the User Configuration node of DCPolicy, modify Security Settings.;From the User Configuration node of DomainPolicy, modify Folder Redirection.;From user Configuration node of DomainPolicy, modify Administrative Templates.;From Preferences in the User Configuration node of DomainPolicy, modify Windows Settings.;;E;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. The domain contains 5,000 user accounts.</p><p>You have a Group Policy object (GPO) named DomainPolicy that is linked to the domain and a GPO named DCPolicy that is linked to the Domain Controllers organizational unit (OU).</p><p>You need to force users to change their account password at least every 30 days.</p><p>What should you do?</p>;;;From the Computer Configuration node of DCPolicy, modify Security Settings.;From the Computer Configuration node of DomainPolicy, modify Security Settings.;From the Computer Configuration node of DomainPolicy, modify Administrative Templates.;From the User Configuration node of DCPolicy, modify Security Settings.;From the User Configuration node of DomainPolicy, modify Folder Redirection.;From user Configuration node of DomainPolicy, modify Administrative Templates.;From Preferences in the User Configuration node of DomainPolicy, modify Windows Settings.;;B;;;;1.0;;;
;;"<p>Your network contains an Active Directory domain named contoso.com. The domain contains a single site named Site1. All computers are in Site1.</p><p>The Group Policy objects (GPOs) for the domain are configured as shown in the exhibit. (Click the Exhibit button.)</p><img src='https://start.opensourceexams.org/exams/70-742/images/image8.jpg' style='max-width: 100%;'><p>The relevant users and client computer in the domain are configured as shown in the following table.</p><img src='https://start.opensourceexams.org/exams/70-742/images/image9.jpg' style='max-width: 100%;'><p>You are evaluating what will occur when you block inheritance on OU4.</p><p>Which GPO or GPOs will apply to User1 when the user signs in to Computer1 after block inheritance is configured?</p>";;;A1, A5, and A6;A3, A1, A5, and A7;A3 and A7 only;A7 only;;;;;D;;;;1.0;;;
;;"<p>Your network contains an Active Directory domain named contoso.com. The domain contains a single site named Site1. All computers are in Site1.</p><p>The Group Policy objects (GPOs) for the domain are configured as shown in the exhibit. (Click the Exhibit button.)</p><img src='https://start.opensourceexams.org/exams/70-742/images/image10.jpg' style='max-width: 100%;'><p>The relevant users and client computer in the domain are configured as shown in the following table.</p><img src='https://start.opensourceexams.org/exams/70-742/images/image9.jpg' style='max-width: 100%;'><p>You are evaluating what will occur when you disable the Group Policy link for A6.</p><p>Which GPOs will apply to User2 when the user signs in to Computer1 after the link for A6 is disabled?</p>";;;A1 and A5 only;A3, A1, and A5 only;A3, A1, A5, and A4 only;A3, A1, A5, and A7;;;;;C;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. The domain contains a user named User1 and an organizational unit (OU) named OU1.</p><p>You create a Group Policy object (GPO) named GPO1.</p><p>You need to ensure that User1 can link GPO1 to OU1.</p><p>What should you do?</p>;;;Modify the security settings of User1.;Add User1 to the Group Policy Creator Owner group.;Modify the security settings of OU1.;Modify the security settings of GPO1.;;;;;C;;;;1.0;;;
;;<p>You network contains an active Directory domain. The domain contains 20 domain controllers. You discover that some Group Policy objects (PROs) are not being applied by all the domain controllers.</p><p>You need to verify whether GPOs replicate successfully to all the domain controllers.</p><p>What should you do?</p>;;;Set BurFlags in the registry, and then restart the File Replication Service (FRS). Run dcdiag.exe for each domain controller.;Set BurFlags in the registry, and then restart the File Replication Service (FRS). View the Directory Service event log.;From Group Policy Management, view the Status tab for the domain.;Run repadmin.exe for each GPO.;;;;;C;;;;1.0;;;
